Facility Name,District,Amount Paid,Claim Month,Payment Date
CHICHISO NO. 1 CHPS,AMANSIE WEST,1522.07,PAYMENT OF JULY 2024 CLAIMS,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1842.81,PAYMENT OF CLAIMS FOR AUG-24,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1260.28,PAYMENT OF CLAIMS FOR SEP-24,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1918.03,PAYMENT OF CLAIMS FOR OCT-24,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1271.02,PAYMENT OF CLAIMS FOR DEC-24,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1582.53,PAYMENT OF CLAIMS FOR NOV-24,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,105.51,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,130.17,Accrual and Payment of Claims for the Month of JAN-2026 for CONGO-BISCO CHPS,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,213.53,PAYMENT OF CLAIMS FOR SEP-25,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,96.10,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,198.63,PAYMENT OF CLAIMS FOR OCT-25,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,111.05,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,113.44,PAYMENT OF CLAIMS FOR APR-25,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,142.42,PAYMENT OF CLAIMS FOR JUN-25,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,118.74,PAYMENT OF CLAIMS FOR JUN-25,01-Jul-2026
CONGO-BISCO CHPS,AMENFIMAN MHIS,84.28,PAYMENT OF CLAIMS FOR MAR-25,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,945.01,PAYMENT OF CLAIMS FOR FEB-25,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1434.41,PAYMENT OF CLAIMS FOR JAN-25,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1294.62,PAYMENT OF CLAIMS FOR APR-25,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1282.05,PAYMENT OF CLAIMS FOR MAY-25,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1197.14,PAYMENT OF CLAIMS FOR SEP-25,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1938.46,PAYMENT OF CLAIMS FOR OCT-25,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1518.91,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1910.13,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,1812.40,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
CHICHISO NO. 1 CHPS,AMANSIE WEST,2215.06,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
NEW TAFO GOVT. HOSPITAL (EASTERN),EAST AKIM DMHIS,197304.62,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ZONGO HEALTH CENTRE BEREKUM,BEREKUM,23808.29,PAYMENT OF CLAIMS FOR SEP-24,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,2168.09,PAYMENT OF CLAIMS FOR DEC-24,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,2849.21,PAYMENT OF CLAIMS FOR MAR-25,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,3789.84,PAYMENT OF CLAIMS FOR APR-25,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,3865.38,PAYMENT OF CLAIMS FOR MAY-25,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,3899.94,PAYMENT OF CLAIMS FOR JUN-25,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,4682.06,PAYMENT OF CLAIMS FOR JUL-25,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,3948.64,PAYMENT OF CLAIMS FOR SEP-25,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,4352.53,PAYMENT OF CLAIMS FOR AUG-25,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,3683.54,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
NSUGYASO CHPS COMPOUND,AFRAM PLANS HIS,3263.77,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,1784.48,CLAIMS PAYMENT FOR FEB 2025,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,1253.55,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,2035.72,PAYMENT OF CLAIMS FOR MAR-25,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,1109.32,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,1303.44,PAYMENT OF CLAIMS FOR APR-25,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,1384.55,PAYMENT OF CLAIMS FOR MAY-25,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,1962.87,PAYMENT OF CLAIMS FOR JUN-25,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,3176.65,PAYMENT OF CLAIMS FOR JUL-25,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,2863.49,PAYMENT OF CLAIMS FOR AUG-25,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,1787.35,PAYMENT OF CLAIMS FOR SEP-25,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,3179.22,PAYMENT OF CLAIMS FOR OCT-25,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,1639.99,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,1466.26,PAYMENT OF CLAIMS FOR JAN-25,01-Jul-2026
TEASE CENTRAL CHIPS COMPOUND,DONKOKROM,3156.37,PAYMENT OF CLAIMS FOR NOV-25,01-Jul-2026
AKOBIMA CHPS,MFANTSIMAN,2317.09,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKOHIA CHPS COMPOUND,MANYA KROBO,886.59,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKOKOA HEALTH CENTRE,ATEBUBU,29451.61,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKOKOASO CHPS COMPOUND (BIRIM NORTH),BIRIM NORTH,6486.23,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKOKOFE CHPS ZONE,BOSOMTWE-ATWIMA,9616.12,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKOLPOSIGA CHPS COMPOUND,BONGO,585.31,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKOME CHPS COMPOUND,HO,5720.93,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
AKOME CHPS COMPOUND,HO,8129.37,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKOME CHPS COMPOUND,HO,8438.05,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKONTANIM CHPS,DORMAA DIST.MHO,9648.36,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKONTOMBRA GOVERNMENT HOSPITAL,SEFWI AKONTOMBR,72414.43,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKORABO HEALTH CENTRE,SUHUM KRA C,14667.34,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKORE CHPS,TAIN DISTRICT,3053.35,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKORLEY CHPS COMPOUND,YILO KROBO,5386.41,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKORTEKROM CHPS,BIRIM SOUTH,4639.07,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKOSOMBO CHPS COMPOUND,BIRIM SOUTH,2536.24,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKOSOMBO CHPS COMPOUND,BIRIM SOUTH,3664.14,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
AKOTE CHPS,SUHUM KRA C,3271.21,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
AKOTE CHPS,SUHUM KRA C,2468.92,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKOTEX CHPS,AYAWASO,15.78,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKOTOE CHPS COMPOUND,MANYA KROBO,1507.20,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKOTOKYIR CHPS COMPOUND,OGUAMAN,2936.20,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
AKPAFU - ADORKOR CHPS,HOHOE,4267.94,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKPAFU MEMPEASEM HEALTH CENTRE,HOHOE,11499.90,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKPAFU-ODOMI CHPS COMPOUND,HOHOE,4918.77,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AKPAFU-ODOMI CHPS COMPOUND,HOHOE,4129.15,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKPANDUE CHPS,ELLEMBELLE,2107.69,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKPANDUE CHPS,ELLEMBELLE,2111.56,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKPLORFUDZI CHPS COMPOUND,KETA,399.77,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKPO EPI CENTRE,YILO KROBO,57.28,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKPO EPI CENTRE,YILO KROBO,866.50,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
AKPOKOPE CHPS,ADAKLU-ANY,5619.39,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKPORKPLOE HEALTH CENTRE,KETU,14696.53,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKPORKPLOE HEALTH CENTRE,KETU,13831.35,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKRAMANG CHPS,AKUAPEM SOUTH,4533.37,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKRAMANG CHPS,AKUAPEM SOUTH,4706.11,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKROFOSO CHPS COMPOUND,SEKYERE EAST-EF,1903.60,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKROFU HEALTH CENTRE,HO,6511.13,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKROFU HEALTH CENTRE,HO,4864.19,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKROFUFU CHPS COMPOUND,ATIWA,6892.51,PAYMENT OF CLAIMS FOR JUNE-24,01-Jul-2026
AKROFUFU CHPS COMPOUND,ATIWA,9262.60,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKROKERRI HEALTH CENTRE,ADANSI NORTH,51131.54,PAYMENT OF CLAIMS FOR MARCH-26,01-Jul-2026
AKROPONG CHPS (ATIWA),ATIWA DHIS,7606.02,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
AKROPONG HEALTH CENTRE,ATWIMA NWAB,153789.57,CLAIMS PAYMENT FOR APR-25,01-Jul-2026
AKROSO HEALTH CENTRE,BIRIM SOUTH,29204.07,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKROSO HEALTH CENTRE,BIRIM SOUTH,32141.65,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKRUSU CHPS COMPOUND,MANYA KROBO,2577.82,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
AKUM CHPS COMPOUND,KADJEBI,1484.31,PAYMENT OF CLAIMS FOR SEPT-25,01-Jul-2026
AKUM CHPS COMPOUND,KADJEBI,1396.83,PAYMENT OF CLAIMS FOR JAN. 2026,01-Jul-2026
AKUM CHPS COMPOUND,KADJEBI,1671.38,PAYMENT OF CLAIMS FOR JUL-25,01-Jul-2026
AKUM CHPS COMPOUND,KADJEBI,1268.12,PAYMENT OF CLAIMS FOR MAY-25,01-Jul-2026
AKUM CHPS COMPOUND,KADJEBI,1542.86,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
AKUNI CHPS COMPOUND,AKUAPEM N,607.20,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKUTRESO HEALTH CENTRE,ADANSI SOUTH MH,4066.32,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKUTUASE CHPS,ATIWA DHIS,941.61,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKUTUASE CHPS,ATIWA DHIS,1240.46,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKUTUASE CLINIC,MPOHOR WASSA EA,21492.92,PAYMENT OF CLAIMS FOR NOV-25,01-Jul-2026
AKUTUASE CLINIC,MPOHOR WASSA EA,9633.90,CLAIMS PAYMENT FOR APR. 2023,01-Jul-2026
AKWABOSO CHPS,UPPER DENKYIRA,1624.30,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKWADUM CHPS,NEW JUABEN,400.93,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AKWADUM CHPS,NEW JUABEN,9996.19,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AKWADUM CHPS,NEW JUABEN,368.69,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKWADUM CHPS,NEW JUABEN,9346.85,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
AKWADUUSO CHPS,ATIWA,1783.08,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AKWAMUFIE HEALTH CENTRE,ASUOGYAMAN,3954.62,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AKWAMUFIE HEALTH CENTRE,ASUOGYAMAN,4622.64,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
AKWANHYIAMU CHPS COMPOUND,ASSIN NORTH,1551.81,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKWANSA KOKODO CHPS COMPOUND,MFANTSIMAN,954.16,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
"AKWASIHO CHPS COMPOUND,",OKWAWUMAN S,11337.22,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKWASUA CHPS COMPOUND,AKWASUA,1357.77,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AKWASUA CHPS COMPOUND,AKWASUA,3342.96,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AKWASUA CHPS COMPOUND,AKWASUA,1619.21,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKWATIA CHPS,KWAEBIBIREM,6489.26,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AKYEKROM CHPS ZONE,BIRIM NORTH,1397.04,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AKYEM NYANKOMASE CHPS,BIRIM SOUTH,2186.41,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
AKYEM ODUMASE CHPS,EAST AKIM,2941.93,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
ALABONU CHPS,SOGAKOPE,4002.10,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ALATA CHPS,ADANSI AKROFUOM,647.65,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ALAVANYO WUDIDI HEALTH CENTRE,HOHOE,18067.46,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ALAVANYO WUDIDI HEALTH CENTRE,HOHOE,20255.85,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ALL SAINTS HEALTH CENTRE (PIINA),JIRAPA-LAMBUSSI,10010.09,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ALL SAINTS HEALTH CENTRE (PIINA),JIRAPA-LAMBUSSI,8990.35,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ALL SAINTS HEALTH CENTRE (PIINA),JIRAPA-LAMBUSSI,9677.88,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ALL SAINTS HEALTH CENTRE (PIINA),JIRAPA-LAMBUSSI,14171.15,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMADU-NKWANTA CHPS COMPOUND,BIA,1318.50,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AMADU-NKWANTA CHPS COMPOUND,BIA,1133.00,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
AMAMOMA CHPS,OGUAMAN,1251.00,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMAMORLEY COMMUNITY CLINIC,GA WEST,42067.66,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
AMAMORLEY COMMUNITY CLINIC,GA WEST,41310.50,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMANASE HEALTH CENTRE,SUHUM KRA C,21162.22,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMANBETE CHPS COMPOUND,ASIKUMA ODOBEN,1375.74,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
AMANBETE CHPS COMPOUND,ASIKUMA ODOBEN,1745.47,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMANFOPONG CHPS COMPOUND,ASIKUMA ODO BRA,5137.49,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AMANFOPONG CHPS COMPOUND,ASIKUMA ODO BRA,5487.21,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMANFRO CHPS(AKUAPEM NORTH),AKUAPEM NORTH,8859.23,PAYMENT OF CLAIMS FOR APRIL-26,01-Jul-2026
AMANFROM CHPS COMPOUND,EAST AKIM,4003.14,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AMANFROM URBAN CHPS COMPOUND,OKWAWUMAN S,1749.06,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMANFROM URBAN CHPS COMPOUND,OKWAWUMAN S,1562.45,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
AMANKOKWAA CHPS COMPOUND,BEREKUM,8067.25,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AMANKOKWAA CHPS COMPOUND,BEREKUM,8213.01,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AMANTENA CHPS COMPOUND,ASANTE AKIM NOR,591.97,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
AMANTIN CHPS COMPOUND,WASSA-WEST,1994.42,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMANTIN CHPS COMPOUND,WASSA-WEST,1361.52,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
AMENASE CHPS,UPPER DENKYIRA,42.39,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMENASE CHPS,UPPER DENKYIRA,66.06,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMENASE CHPS,UPPER DENKYIRA,65.89,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AMEVOR ZONE 2,HO,614.36,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AMMARKO CHPS COMPOUND,WEST AKIM,1241.76,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AMMARKO CHPS COMPOUND,WEST AKIM,1507.05,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
AMMARKO CHPS COMPOUND,WEST AKIM,1120.48,PAYMENT OF CLAIMS FOR FEB. 2026,01-Jul-2026
AMOAKOKROM CHPS,AMENFIMAN,1507.29,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AMOAMANG CHPS,ATWIMA NWABIAGY,1029.68,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AMOAMO HEALTH CENTRE,AMANSIE EAST,7127.05,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMOAYA HEALTH CENTRE,BODI,19722.36,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMOMASO CHPS COMPOUND,BEREKUM,3735.03,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMOMASO CHPS COMPOUND,BEREKUM,4713.60,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMOTARE CHPS COMPOUND,FANTEAKWA,1001.72,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMPABENA CHPS COMPOUND,UPPER DENKYIRA,1154.62,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
AMPAIN HEALTH CENTRE,ELEMBELLE,17847.25,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMPEKROM CHPS,OKWAHUMAN W,4451.34,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
AMPENYIN CHPS COMPOUND,KEEA,7081.92,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
AMPEYO CHPS,KADJEBI,2636.16,PAYMENT OF CLAIMS FOR MAY-25,01-Jul-2026
AMPEYO CHPS,KADJEBI,2678.58,PAYMENT OF CLAIMS FOR JUN-25,01-Jul-2026
AMPEYO CHPS,KADJEBI,2407.29,PAYMENT OF CLAIMS FOR APR-25,01-Jul-2026
AMPEYO CHPS,KADJEBI,2986.52,PAYMENT OF CLAIMS FOR JUL-24,01-Jul-2026
AMPIA AJUMAKO CHPS COMPOUND,AJUMAKO ENYAN,1009.36,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMPONSASO CHPS,MPOHOR WASS E,971.62,PAYMENT OF CLAIMS FOR AUG-25,01-Jul-2026
AMPONSASO CHPS,MPOHOR WASS E,1869.90,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMPONTENKROM CHPS,AMENFIMAN MHIS,764.80,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
AMRAHIA HEALTH CENTRE,ADENTA,3742.32,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
AMUANA PRASO CHPS COMPOUND,BIRIM NORTH,5959.53,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
AMUZUDEVE CHPS COMPOUND,ADAKLU-ANY,1457.73,PAYMENT OF CLAIMS FOR JUN-25,01-Jul-2026
AMUZUDEVE CHPS COMPOUND,ADAKLU-ANY,1232.84,PAYMENT OF CLAIMS FOR AUG-25,01-Jul-2026
AMUZUDEVE CHPS COMPOUND,ADAKLU-ANY,2217.61,PAYMENT OF CLAIMS FOR OCT-25,01-Jul-2026
AMUZUDEVE CHPS COMPOUND,ADAKLU-ANY,1528.95,PAYMENT OF CLAIMS FOR JUL-25,01-Jul-2026
AMUZUDEVE CHPS COMPOUND,ADAKLU-ANY,1320.80,PAYMENT OF CLAIMS FOR SEPT-25,01-Jul-2026
AMUZUDEVE CHPS COMPOUND,ADAKLU-ANY,1261.35,PAYMENT OF CLAIMS FOR MAY-25,01-Jul-2026
AMUZUDEVE CHPS COMPOUND,ADAKLU-ANY,1277.47,PAYMENT OF CLAIMS FOR NOV-25,01-Jul-2026
AMUZUDEVE CHPS COMPOUND,ADAKLU-ANY,731.76,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
AMUZUDEVE CHPS COMPOUND,ADAKLU-ANY,1057.74,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
ANAJI CHPS,SEKONDI,18471.93,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ANAMASE CHPS,BIRIM SOUTH,7640.90,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ANANEKROM CHPS,ELEMBELLE,2137.14,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ANANEKROM HEALTH CENTRE,ASANTE AKIM N,48350.55,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ANFOEGA CATHOLIC HOSPITAL,KPANDO,211457.41,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ANHWIASO HEALTH CENTRE,BIBIANI-AN BE,20335.98,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ANHWIAWIA CHPS COMPOUND,UPPER DENKYIRA,459.51,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ANIDZI CHPS (AFRAM PLAINS),AFRAM PLANS HIS,2256.12,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ANKAAKO CHPS COMPOUND,TWIFU HEMANG LO,2781.30,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
ANKAASE CHPS COMPOUND,TANO SOUTH,1935.40,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
ANKAASE CHPS COMPOUND,TANO SOUTH,3882.66,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ANKAASE CHPS COMPOUND,TANO SOUTH,5451.52,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ANKAFUL CHPS COMPOUND,MFANTSIMAN,703.21,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ANKAFUL LEPROSY/GENERAL HOSPITAL,KOM-ED-EGUA-ABI,73943.28,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ANKAMATENG CHPS,AMENFIMAN MHIS,372.74,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ANKWAWSO CHPS COMPOUND,AMENFIMAN,953.54,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ANLO BEACH CHPS,SHAMA MHIS,1904.49,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ANLOGA HEALTH CENTRE,KETA,52271.07,ACCRUAL OF UNVETTED CLAIMS FOR DEC-25,01-Jul-2026
ANOENU CHPS,KETU,4567.09,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ANOENU CHPS,KETU,5271.36,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ANOMABO CHPS COMPOUND,ADANSI NORTH,6606.41,PAYMENT OF CLAIMS FOR FEB.-26,01-Jul-2026
ANOMABO CHPS COMPOUND,ADANSI NORTH,7382.79,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ANOMABO HEALTH CENTRE,MFANTSIMAN,16586.04,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ANOMAKOJO CHPS COMPOUND,WEST AKIM,2501.16,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
ANOMAKOJO CHPS COMPOUND,WEST AKIM,1402.13,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ANTO CHPS (SHAMA),SHAMA,3738.85,PAYMENT OF CLAIM FOR APR-26,01-Jul-2026
ANTO CHPS COMPOUND,MPOHOR WASSA EA,5434.58,PAYMENT OF CLAIMS FOR JUL-25,01-Jul-2026
