Facility Name,District,Amount Paid,Claim Month,Payment Date
ABOTOASE HEALTH CENTRE,JASIKAN,18211.90,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABOUNTEM CHPS COMPOUND,BOSOMTWE-ATWIMA,1881.30,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABOUNTEM CHPS COMPOUND,BOSOMTWE-ATWIMA,2028.37,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABOURSO CHPS,FANTEAKWA,1365.78,PAYMENT OF CLAIMS FOR MAR. 2026,01-Jul-2026
ABRAFI MEMORIAL HOSPITAL,MANHYIA,67417.94,PAYMENT OF CLAIMS FOR DEC-25,01-Jul-2026
ABREM ESSIAM CHPS COMPOUND,KEEA,15596.79,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABROKYIRE KROBO CHPS ZONE,WASSA AMENFI E,427.89,PAYMENT OF CLAIMS FOR MAY-26,01-Jul-2026
ABRONYE CHPS,SUNYANI W,4315.38,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUAKWAA HEALTH CENTRE,AMANSIE CENT,59448.81,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ABUENU CHPS ZONE,ABURA-ASEBU-KWA,2641.31,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
ABUOKROM CHPS,JAMAN S,11707.71,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ABUOKROM CHPS,JAMAN S,9866.49,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ABUOM HEALTH CENTRE,ASUNAFO SOUTH,26492.31,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABURA HEALTH CENTRE,AHANTAMAN,15730.20,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABURANSA CHPS ZONE,KEEA,7001.53,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUTIA AGOVE HEALTH CENTRE,HO,7899.91,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUTIA KISSIFLUI,HO,5484.24,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUTIA KISSIFLUI,HO,5556.01,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABUTIA KLOE HEALTH CENTRE,HO,14372.52,PAYMENT OF CLAIMS FOR APR-26,01-Jul-2026
ABUTIA KLOE HEALTH CENTRE,HO,14348.57,PAYMENT OF CLAIMS FOR MAR-26,01-Jul-2026
ABUTIA KLOE HEALTH CENTRE,HO,12485.03,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ACHANYIRI-GOAYIE CHPS,BUILSA,801.19,PAYMENT OF CLAIMS FOR JAN-26,01-Jul-2026
ACHANYIRI-GOAYIE CHPS,BUILSA,596.76,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ACHIANSAH CHPS,SUHUM KRA C,2978.83,PAYMENT OF CLAIM FOR MAR-26,01-Jul-2026
ACHIASE CHPS,UPPER DENKYIRA,1756.64,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
ACHIASE HEALTH CENTRE (EASTERN),BIRIM SOUTH,40123.04,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ACHIATO CHPS COMPOUND,GA,30327.04,PAYMENT OF CLAIMS FOR FEB-26,01-Jul-2026
ACHUBUNYOR CHPS,WEST GONJA,1855.79,PAYMENT OF CLAIMS FOR APR. 2026,01-Jul-2026
